folder,file,title,venue_year,url,audit,audit_detail,system,bibkey,cited_in_survey,also_filed_under,version_pair,renamed_from
02_multi_agent_frameworks,02_multi_agent_frameworks/Towards a Science of Collective AI_ LLM-based Multi-Agent Systems Need a Transition from Blind Trial-and-Error to Rigorous Science.pdf,Towards a Science of Collective AI: LLM-based Multi-Agent Systems Need a Transition from Blind Trial-and-Error to Rigorous Science,arXiv preprint 2026,https://arxiv.org/abs/2602.05289,not retained,position paper,,fan2026collectiveai,no,,,
03_self_evolution,03_self_evolution/360degREA_ Towards A Reusable Experience Accumulation with 360deg Assessment for Multi-Agent System.pdf,360°REA: Towards A Reusable Experience Accumulation with 360° Assessment for Multi-Agent System,Findings-ACL 2024,https://aclanthology.org/2024.findings-acl.778/,retained,evolution; Γ not identifiable; cost N,360\textdegree REA,zhang2024rea,yes,,,
03_self_evolution,03_self_evolution/Agentic Context Engineering_ Evolving Contexts for Self-Improving Language Models.pdf,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,ICLR 2026,https://openreview.net/forum?id=eC4ygDs02R,retained,evolution; Γ not identifiable; cost full,ACE,zhang2026ace,yes,08_demo_selection_icl_sota/09_ACE_2025.pdf,,
03_self_evolution,03_self_evolution/CoMAS_ Co-Evolving Multi-Agent Systems via Interaction Rewards.pdf,CoMAS: Co-Evolving Multi-Agent Systems via Interaction Rewards,ICLR 2026,https://openreview.net/forum?id=ihwAzktmWc,retained,evolution; Γ identifiable; cost N,CoMAS,xue2026comas,yes,,,
03_self_evolution,03_self_evolution/EvolveR_ Self-Evolving LLM Agents through an Experience Lifecycle.pdf,EvolveR: Self-Evolving LLM Agents through an Experience-Driven Lifecycle,preprint 2026,https://arxiv.org/abs/2510.16079,retained,evolution; Γ not identifiable; cost N,EvolveR,zhang2025evolver,yes,,,
03_self_evolution,03_self_evolution/EvoPrompt_ Connecting LLMs with Evolutionary Algorithms Yields Powerful Prompt Optimizers.pdf,EvoPrompt: Connecting LLMs with Evolutionary Algorithms Yields Powerful Prompt Optimizers,Proc. Int. Conf. Learn. Represent. 2024,https://openreview.net/forum?id=zg3PuXyH2X,not retained,single agent,,guo2024evoprompt,yes,04_context_engineering_icl_memory/EvoPrompt_ Connecting LLMs with Evolutionary Algorithms Yields Powerful Prompt Optimizers.pdf,,"was ""...Yields Powerful Automatic Prompt Optimizer"""
03_self_evolution,03_self_evolution/EvoPrompting_ Language Models for Code-Level Neural Architecture Search.pdf,EvoPrompting: Language Models for Code-Level Neural Architecture Search,NeurIPS 2023,https://arxiv.org/abs/2302.14838,not retained,single agent (NAS),,,no,,,
03_self_evolution,03_self_evolution/Generative Agents_ Interactive Simulacra of Human Behavior.pdf,Generative Agents: Interactive Simulacra of Human Behavior,UIST 2023,https://doi.org/10.1145/3586183.3606763,retained,role-play; Γ not identifiable; cost N,Generative Agents,park2023generativeAgents,yes,,,
03_self_evolution,03_self_evolution/GenPilot_ A Multi-Agent System for Test-Time Prompt Optimization in Image Generation.pdf,GenPilot: A Multi-Agent System for Test-Time Prompt Optimization in Image Generation,EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.49/,retained,evolution; Γ not identifiable; cost N,GenPilot,liu2025genpilot,yes,07_frontier_2025_2026/GenPilot_ A Multi-Agent System for Test-Time Prompt Optimization in Image Generation.pdf,,
03_self_evolution,03_self_evolution/Gödel Agent_ A Self-Referential Agent Framework for Recursive Self-Improvement.pdf,Gödel Agent: A Self-Referential Agent Framework for Recursively Self-Improvement,Proc. 63rd Annu. Meeting Assoc. Comput. Linguistics 2025,https://aclanthology.org/2025.acl-long.1354/,not retained,single agent,,ye2025godel,yes,,,
03_self_evolution,03_self_evolution/MorphAgent_ Empowering Agents through Self-Evolving Profiles.pdf,MorphAgent: Empowering Agents through Self-Evolving Profiles and Decentralized Collaboration,preprint 2024,https://arxiv.org/abs/2410.15048,retained,evolution; Γ not identifiable; cost N,MorphAgent,li2024morphagent,yes,,,
03_self_evolution,03_self_evolution/Multi-Agent Evolve_ LLM Self-Improve through Multi-Agent Co-evolution.pdf,Multi-Agent Evolve: LLM Self-Improve through Co-evolution,ICLR 2026 (under review),https://arxiv.org/abs/2510.23595,retained,evolution; Γ not identifiable; cost N,Multi-Agent Evolve,chen2024mae,yes,,,
03_self_evolution,03_self_evolution/Multiagent Finetuning_ Self Improvement with Diverse Reasoning Chains.pdf,Multiagent Finetuning: Self Improvement with Diverse Reasoning Chains,ICLR 2025,https://openreview.net/forum?id=JtGPIZpOrz,retained,evolution; Γ not identifiable; cost N,Multiagent Finetuning,subramaniam2025multiagentft,yes,,,
03_self_evolution,03_self_evolution/PromptAgent_ Strategic Planning with Language Models Enables Expert-level Prompt Optimization.pdf,PromptAgent: Strategic Planning with Large Language Models Enables Expert-Level Prompt Optimization,Proc. Int. Conf. Learn. Represent. 2024,https://openreview.net/forum?id=22pyNMuIoa,not retained,single agent,,wang2024promptagent,yes,04_context_engineering_icl_memory/PromptAgent_ Strategic Planning with Language Models Enables Expert-level Prompt Optimization.pdf,,
03_self_evolution,03_self_evolution/Reflexion_ Language Agents with Verbal Reinforcement Learning.pdf,Reflexion: Language Agents with Verbal Reinforcement Learning,Proc. Adv. Neural Inf. Process. Syst. 2023,https://arxiv.org/abs/2303.11366,not retained,single agent,,shinn2023reflexion,yes,,,
03_self_evolution,03_self_evolution/Self-Refine_ Iterative Refinement with Self-Feedback.pdf,Self-Refine: Iterative Refinement with Self-Feedback,Proc. Adv. Neural Inf. Process. Syst. 2023,https://arxiv.org/abs/2303.17651,not retained,single agent,,madaan2023selfrefine,yes,,,
03_self_evolution,03_self_evolution/SiriuS_ Self-improving Multi-agent Systems via Bootstrapped Reasoning.pdf,SiriuS: Self-improving Multi-agent Systems via Bootstrapped Reasoning,ICLR 2025 WS,https://openreview.net/forum?id=IDSTtDw4Cs,retained,evolution; Γ not identifiable; cost N,SiriuS,zhao2025sirius,yes,,,
03_self_evolution,03_self_evolution/TextGrad_ Automatic Differentiation via Text.pdf,Optimizing generative AI by backpropagating language model feedback,Nature 2025,https://doi.org/10.1038/s41586-025-08661-4,not retained,single agent,,yuksekgonul2025optimizing,yes,,,
03_self_evolution,03_self_evolution/Voyager_ An Open-Ended Embodied Agent with Large Language Models.pdf,Voyager: An Open-Ended Embodied Agent with Large Language Models,Trans. Mach. Learn. Res. 2024,https://openreview.net/forum?id=ehfRiF0R3a,not retained,single agent,,wang2024voyager,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Compressing Context to Enhance Inference Efficiency of Large Language Models.pdf,Compressing Context to Enhance Inference Efficiency of Large Language Models,EMNLP 2023,https://aclanthology.org/2023.emnlp-main.391/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,,no,,,"was ""Selective Context: Efficient Inference with Content-Aware Prompt Compression"", which is a different paper by the same first author"
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Enabling Large Language Models to Generate Text with Citations.pdf,Enabling Large Language Models to Generate Text with Citations,EMNLP 2023,https://aclanthology.org/2023.emnlp-main.398/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,,no,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/FreshLLMs_ Refreshing Large Language Models with Search Engine Augmentation.pdf,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Findings Assoc. Comput. Linguistics: ACL 2024,https://aclanthology.org/2024.findings-acl.813/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,vu2024freshllms,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Language Models are Few-Shot Learners.pdf,Language Models are Few-Shot Learners,Proc. Adv. Neural Inf. Process. Syst. 2020,https://arxiv.org/abs/2005.14165,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,brown2020fewshot,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/LLMLingua_ Compressing Prompts for Accelerated Inference of Large Language Models.pdf,LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models,Proc. Conf. Empirical Methods Natural Lang. Process. 2023,https://doi.org/10.18653/v1/2023.emnlp-main.825,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,jiang2023llmlingua,yes,,,
04_context_engineering_icl_memory,"04_context_engineering_icl_memory/LongBench_ A Bilingual, Multitask Benchmark for Long Context Understanding.pdf","LongBench: A Bilingual, Multitask Benchmark for Long Context Understanding",Proc. 62nd Annu. Meeting Assoc. Comput. Linguistics 2024,https://aclanthology.org/2024.acl-long.172/,not retained,benchmark,,bai2023longbench,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/LongLeader_ A Comprehensive Leaderboard for Large Language Models in Long Context.pdf,LongLeader: A Comprehensive Leaderboard for Large Language Models in Long-context Scenarios,Proc. Conf. Nations Americas Chapter Assoc. Comput. Linguistics: Human Lang. Technol. 2025,https://aclanthology.org/2025.naacl-long.439/,not retained,benchmark,,li2025longleader,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/LongLLMLingua_ Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression.pdf,LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression,Proc. 62nd Annu. Meeting Assoc. Comput. Linguistics 2024,https://doi.org/10.18653/v1/2024.acl-long.91,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,jiang2024longllmlingua,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Lost in the Middle_ How Language Models Use Long Contexts.pdf,Lost in the Middle: How Language Models Use Long Contexts,Trans. Assoc. Comput. Linguistics 2024,https://aclanthology.org/2024.tacl-1.9/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,liu2024lost,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Measuring Attribution in Natural Language Generation Models.pdf,Measuring Attribution in Natural Language Generation Models,Computational Linguistics 2023,https://arxiv.org/abs/2112.12870,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,,no,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/MemBench_ Towards More Comprehensive Evaluation on the Memory of LLM Agents.pdf,MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents,Findings Assoc. Comput. Linguistics: ACL 2025,https://aclanthology.org/2025.findings-acl.989/,not retained,benchmark,,chen2025membench,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/MemGPT_ Towards LLMs as Operating Systems.pdf,MemGPT: Towards LLMs as Operating Systems,arXiv preprint 2023,https://arxiv.org/abs/2310.08560,not retained,single agent,,packer2023memgpt,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/ReAct_ Synergizing Reasoning and Acting in Language Models.pdf,ReAct: Synergizing Reasoning and Acting in Language Models,Proc. Int. Conf. Learn. Represent. 2023,https://openreview.net/forum?id=WE_vluYUL-X,not retained,single agent,,yao2023react,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/RECOMP_ Improving Retrieval-Augmented LMs with Compression and Selective Augmentation.pdf,RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation,ICLR 2024,https://arxiv.org/abs/2310.04408,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,,no,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Rethinking the Role of Demonstrations_ What Makes In-Context Learning Work_.pdf,Rethinking the Role of Demonstrations: What Makes In-Context Learning Work?,Proc. Conf. Empirical Methods Natural Lang. Process. 2022,https://aclanthology.org/2022.emnlp-main.759/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,min2022rethinking,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Proc. Adv. Neural Inf. Process. Syst. 2020,https://arxiv.org/abs/2005.11401,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,lewis2020rag,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/The Mystery of In-Context Learning_ A Comprehensive Survey on Interpretation and Analysis.pdf,The Mystery of In-Context Learning: A Comprehensive Survey on Interpretation and Analysis,Proc. Conf. Empirical Methods Natural Lang. Process. 2024,https://aclanthology.org/2024.emnlp-main.795/,not retained,survey,,mystery2024icl,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Toolformer_ Language Models Can Teach Themselves to Use Tools.pdf,Toolformer: Language Models Can Teach Themselves to Use Tools,Proc. Adv. Neural Inf. Process. Syst. 2023,https://openreview.net/forum?id=Yacmpz84TH,not retained,single agent,,schick2023toolformer,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/Tree of Agents_ Improving Long-Context Capabilities of LLMs through Multi-Perspective Reasoning.pdf,Tree of Agents: Improving Long-Context Capabilities of Large Language Models through Multi-Perspective Reasoning,Findings Assoc. Comput. Linguistics: EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.246/,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,zhou2025treeagents,yes,,,
04_context_engineering_icl_memory,04_context_engineering_icl_memory/What Makes Good In-Context Examples for GPT-3_.pdf,What Makes Good In-Context Examples for GPT-3?,Proc. 3rd Workshop Knowl. Extraction Integr. Deep Learn. Architectures (DeeLIO) 2022,,not retained,"single-agent ICL (folders 04/08/09 except CONSENSAGENT, M2CL)",,liu2022kate,yes,,,
05_industry_applications,05_industry_applications/AI Hospital_ Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator (arXiv v4).pdf,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,COLING 2025,https://aclanthology.org/2025.coling-main.680/,retained,role-play; Γ not identifiable; cost N,AI Hospital,fan-etal-2025-ai,yes,,05_industry_applications/AI Hospital_ Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator.pdf,"was ""...in a Multi-agent Medical Scenario"", an earlier title of this work; the suffix distinguishes it from the COLING camera-ready copy"
05_industry_applications,05_industry_applications/AI Hospital_ Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator.pdf,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,Proc. 31st Int. Conf. Comput. Linguistics 2025,https://aclanthology.org/2025.coling-main.680/,not retained,"screened, criterion not met",,fan-etal-2025-ai,yes,,05_industry_applications/AI Hospital_ Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator (arXiv v4).pdf,
05_industry_applications,"05_industry_applications/Autonomous Agents for Scientific Discovery_ Orchestrating Scientists, Language, Code, and Physics.pdf","Autonomous Agents for Scientific Discovery: Orchestrating Scientists, Language, Code, and Physics",preprint 2025,https://arxiv.org/abs/2510.09901,retained,workflow; Γ not identifiable; cost N,Sci. Discovery Agents,zhou2025scientificagents,yes,,,
05_industry_applications,05_industry_applications/Autonomous Chemical Research with Large Language Models.pdf,Autonomous Chemical Research with Large Language Models,Nature 2023,https://doi.org/10.1038/s41586-023-06792-0,retained,workflow; Γ not identifiable; cost N,Coscientist,boiko2023scienceagents,yes,,,
05_industry_applications,05_industry_applications/DatawiseAgent_ A Notebook-Centric LLM Agent Framework for Adaptive and Robust Data Science Automation.pdf,DatawiseAgent: A Notebook-Centric LLM Agent Framework for Adaptive and Robust Data Science Automation,EMNLP 2025,https://aclanthology.org/2025.emnlp-main.58/,retained,workflow; Γ not identifiable; cost N,DatawiseAgent,chen2025datawise,yes,07_frontier_2025_2026/DatawiseAgent_ A Notebook-Centric LLM Agent Framework for Adaptive and Robust Data Science Automation.pdf,,
05_industry_applications,05_industry_applications/DriveAgent_ Multi-Agent Structured Reasoning with LLM and Multimodal Sensor Fusion for Autonomous Driving.pdf,DriveAgent: Multi-Agent Structured Reasoning With LLM and Multimodal Sensor Fusion for Autonomous Driving,preprint 2025,https://doi.org/10.1109/LRA.2025.3619807,retained,workflow; Γ not identifiable; cost N,DriveAgent,hou2025driveagent,yes,,,
05_industry_applications,05_industry_applications/DrugAgent_ Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration.pdf,DrugAgent: Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration,preprint 2024,https://arxiv.org/abs/2411.15692,retained,workflow; Γ not identifiable; cost N,DrugAgent,liu2024drugagent,yes,,,
05_industry_applications,05_industry_applications/From Earnings Calls to Investment Reports_ Evaluating Role-based Multi-Agent LLM Systems.pdf,From Earnings Calls to Investment Reports: Evaluating Role-based Multi-Agent LLM Systems,preprint 2025,https://aclanthology.org/2025.finnlp-2.19/,retained,role-play; Γ not identifiable; cost N,Earnings-Call Agents,li2025earnings,yes,,,
05_industry_applications,"05_industry_applications/Large Language Model Agents in Finance_ A Survey Bridging Research, Practice, and Real-World Deployment.pdf","Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",Findings Assoc. Comput. Linguistics: EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.972/,not retained,survey,,li2025financeagents,yes,,,
05_industry_applications,"05_industry_applications/Multi-Agent Autonomous Driving Systems with Large Language Models_ A Survey of Recent Advances, Resources, and Future Directions.pdf","Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances, Resources, and Future Directions",Findings Assoc. Comput. Linguistics: EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.683/,not retained,survey,,cui2024autodrivingSurvey,yes,,"01_overview_surveys/Multi-Agent Autonomous Driving Systems with Large Language Models_ A Survey of Recent Advances, Resources, and Future Directions.pdf",
05_industry_applications,05_industry_applications/MultiAgentESC_ A LLM-based Multi-Agent Collaboration Framework for Emotional Support Conversation.pdf,MultiAgentESC: A LLM-based Multi-Agent Collaboration Framework for Emotional Support Conversation,EMNLP 2025,https://aclanthology.org/2025.emnlp-main.232/,retained,debate; Γ identifiable; cost N,MultiAgentESC,li2024multiagentesc,yes,,,
05_industry_applications,05_industry_applications/QuantAgents_ Towards Multi-agent Financial System via Simulated Trading.pdf,QuantAgents: Towards Multi-agent Financial System via Simulated Trading,preprint 2025,https://aclanthology.org/2025.findings-emnlp.945/,retained,role-play; Γ not identifiable; cost N,QuantAgents,wang2025quantagents,yes,,,
05_industry_applications,05_industry_applications/SWE-agent_ Agent-Computer Interfaces Enable Automated Software Engineering.pdf,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Proc. Adv. Neural Inf. Process. Syst. 2024,https://openreview.net/forum?id=mXpq6ut8J3,not retained,single agent,,yang2024sweagent,yes,,,
05_industry_applications,05_industry_applications/SWE-bench_ Can Language Models Resolve Real-World GitHub Issues_.pdf,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,arXiv preprint 2024,https://arxiv.org/abs/2310.06770,not retained,benchmark,,jimenez2024swebench,yes,,,
05_industry_applications,05_industry_applications/TriageAgent_ Towards Better Multi-Agents Collaborations for Large Language Model-Based Clinical Triage.pdf,TriageAgent: Towards Better Multi-Agents Collaborations for Large Language Model-Based Clinical Triage,Findings-EMNLP 2024,https://aclanthology.org/2024.findings-emnlp.329/,retained,debate; Γ identifiable; cost full,TriageAgent,zhang2024triageagent,yes,,,
06_evaluation_benchmarks_safety,06_evaluation_benchmarks_safety/Accelerating the Machine Learning Lifecycle with MLflow.pdf,Accelerating the Machine Learning Lifecycle with MLflow,IEEE Data Engineering Bulletin 2018,,not retained,"screened, criterion not met",,,no,,,"was ""MLflow: A Platform for the Machine Learning Lifecycle"", a different Zaharia et al. paper"
06_evaluation_benchmarks_safety,06_evaluation_benchmarks_safety/AgentBench_ Evaluating LLMs as Agents.pdf,AgentBench: Evaluating LLMs as Agents,Proc. Int. Conf. Learn. Represent. 2024,https://openreview.net/forum?id=zAdUB0aCTQ,not retained,benchmark,,liu2024agentbench,yes,,,
